Id;Name;Start;Ende;

Low running Lineitems 


Never run Lineitems 

288686;Google ADX / toi wirtschaft fotoshow sb / 2013_GoogleADX_Q1_Superbanner_Fotoshow / 20072993012;2013-01-01;2013-12-31;
295057;Ligatus/kicker  sb flat ecpm 2013_Ligatus_Abgrenzung_Diverse_IAB_Q1/ 20073071019;2013-10-01;2013-12-31;
304025;Performance Advertisting / fürsie  SB / 2013_PA_Jahreskoop 2013_div Platzierungen_IM Netz_KW 01-01 / SAP20073411004;2013-01-01;2013-12-31;
304116;Performance Advertising / Helpster RoS MedRec / 2013_PA_Jahreskoop 2013_div Platzierungen_IM Netz_KW 01-01 / SAP20073411016;2013-01-01;2013-12-31;
304223;Performance Adv/ pointoo sky/ 2013_PA_Jahreskoop_div_IM Netz_KW 01-01  20073411046;2013-01-08;2013-12-31;
304266;Performance Adv/ pointoo med / 2013_PA_Jahreskoop_div_IM Netz_KW 01-01  20073411043;2013-01-08;2013-12-31;
307967;Performance Adv. / Alpin.de RoS sky / Jahreskoop 2013_div Platzierungen_IM Netz_20073411002;2013-01-08;2013-12-31;
307978;Performance Adv. / cosmiq RoS MedRec / 2013_PA_Jahreskoop _div Platzierungen_IM Netz/ 20073411010;2013-01-01;2013-12-31;
307981;Performance Adv. / cosmiq RoS sky / 2013_PA_Jahreskoop _div Platzierungen_IM Netz/ 20073411010;2013-01-01;2013-12-31;
307982;Performance Adv. / cosmiq RoS sb / 2013_PA_Jahreskoop _div Platzierungen_IM Netz/ 20073411010;2013-01-01;2013-12-31;
353325;Performance Adv/ NetDoktor med/ 2013_PA_Jahreskoop_div_IM Netz_KW 01-01 / 20073411072;2013-03-01;2013-12-31;
380529;$$DEFAULT TO Mrec Ausblender DO NOT DELETE;2013-03-19;Kein Enddatum;
381656;plista/ immoscout sky / 2013_Plista_IS24_IAB_02-03/ 20074322002;2013-04-01;2013-12-31;
381657;plista/ immoscout sb / 2013_Plista_IS24_IAB_02-03/ 20074322002;2013-04-01;2013-12-31;
420240;plista/ gutefrage unterseiten med/ 2013_Plista_Gutefrage.net_IAB_Februar-Juni/ 20074072008;2013-05-01;2013-12-31;
421550;Performance Advertisting /BM selbermachen med / 2013_PA_Jahreskoop 2013_div Platzierungen 20073411088;2013-01-01;2013-12-31;
459979;Ligatus/ Immoscout med/ 2013_Ligatus_IS24_AS24_Q1/ 20073965004;2013-05-23;2013-12-31;
472557;plista/ pointoo 610x230/ 2013_Plista_Gutefrage.net_Diverse_März-Juni/ 20074072005;2013-03-04;2013-12-31;
478094;Xaxis Test;2013-06-06;Kein Enddatum;
511244;target performance/fc  im netz sky  ex toi/ 2013_target_perf_1HJ_Retargeting_komplett 20073208003;2013-07-01;2013-12-31;
511245;target performance/fc  im netz sb ex toi/ 2013_target_perf_1HJ_Retargeting_komplett 20073208003;2013-07-01;2013-12-31;
586586;Take 2 toi adbundle cpc/ 2013_TAK_13_02_GTA_V_Nr.2013.7133278.0_Mediascale_TO_kicker_fussball_2/  20079137005;2013-10-28;2013-11-10;
590623;Take 2 netzwelt adbundle cpc/ TAK_13_02_GTA-V/  20079199002;2013-10-28;2013-11-10;
617205;solute / pointoo performance footer 940x220  adblock 2013_Jahresvereinbarung_Solute_IMNetzwer/  20073133017;2013-09-05;2013-12-31;
658217;Credit Plus / TO_T-Online.de_Homepage_Skyscraper_CPC / Jahreskooperation T-Online.de Okotber / sap 20080113017;2013-10-01;2013-12-31;
660481;criteo/ fussball med fc 2013_10_12_Criteo_Zusatzflights 20080165007;2013-10-01;2013-12-31;
660482;criteo/ fussball sky fc 2013_10_12_Criteo_Zusatzflights 20080165011;2013-10-01;2013-12-31;
661653;Lesson Nine / TOI DSL ROS Super Banner / 2013_Lesson Nine_Babbel.de_10 20080338002;2013-10-01;2013-10-31;
676091;Opus/ Im Netz Frauen adbundle retarget/2013_Firststars_Opus_Oktober_Frauenrotation/ 20080512001;2013-10-04;2013-10-31;
682772;$$EW/GoogleADX / motorradfrage.net ROS MobileAd POS1 / nosap;2013-09-02;2018-12-31;
689270;Salzburger Land/Netzwerk Rota Adbundle/verlinkung ins Advertorial/sap20080716005;2013-10-15;2013-12-12;
709279;Henkel AG & Co. KGaA / IM ImmoScout GFN Adbundle CPM 20-35 Jahre FC 1 Monat / Persil Sensitive Flight 14 2013 / SAP20081047001;2013-10-28;2013-10-31;
709408;Kaufland Warenhandel / IM Bunte Sky CPM / Drogerie P7481 / SAP 20081042004;2013-10-27;2013-11-02;
709418;Kaufland Warenhandel / IM Netzwerk Frauen Rota Adbundle CPC / Drogerie P7481 / SAP 20081042005;2013-10-27;2013-11-02;
711761;Nintendo of Europe GmbH/Netzwerk_RoS_Jugend, Schüler & Studenten-RoS/Ad Bundle_CPM /Nintendo - Wii Party U/SAP 20080701001;2013-10-25;2013-12-31;
711817;Nintendo of Europe GmbH/Netzwerk_RoS_Familien Rotation Ad Bundle_CPM /Nintendo - Wii Party U/SAP 20080701002;2013-10-25;2013-12-31;
712504;RWE/Netzwerk Rota Adbundle/Unser Land geht voRWEg/sap20081075001;2013-10-28;2013-10-31;
